named_etity,harem_reference,freeling,nerp_crf
Chicago,local,local,local
Detroit,local,local,local
Durban,local,local,local
Ford,organizacao,organizacao,organizacao
General Mortors,organizacao,organizacao,pessoa
Hari Kunzru,pessoa,,pessoa
Jeff Mills,pessoa,pessoa,pessoa
Kodwo Eshun,pessoa,pessoa,pessoa
Matthew Collin,pessoa,pessoa,pessoa
Ministério da Justiça,organizacao,organizacao,organizacao
Model 500,pessoa,,pessoa
Motown,oranizacao,organizacao,local
New Orleans,local,local,pessoa
Reagan,pessoa,local,local
Tóquio,local,local,local